fecha|id_pos|unidades_despachadas|cantidad_envios
2012-08-17|5235|36|1
2012-08-24|4611|48|1
2012-08-24|4645|48|1
2012-08-24|4649|72|1
2012-08-24|4677|72|1
2012-08-24|4876|60|1
2012-08-24|4886|36|1
2012-08-24|4888|84|1
2012-08-24|4924|84|1
2012-08-24|4951|48|1
2012-08-24|4978|96|1
2012-08-24|4984|72|1
2012-08-24|4987|84|1
2012-08-24|4989|84|1
2012-08-24|4998|60|1
2012-08-24|4999|156|1
2012-08-24|5004|60|1
2012-08-24|5009|72|1
2012-08-24|5041|36|1
2012-08-24|5084|72|1
2012-08-24|5095|120|1
2012-08-24|5114|72|1
2012-08-24|5117|84|1
2012-08-24|5128|60|1
2012-08-24|5163|72|1
2012-08-24|5194|84|1
2012-08-24|5203|48|1
2012-08-24|5215|36|1
2012-08-24|5224|144|1
2012-08-24|4342|36|1
2012-08-24|4343|72|1
2012-08-24|4350|72|1
2012-08-24|4351|84|1
2012-08-24|4353|72|1
2012-08-24|4354|108|1
2012-08-24|4359|84|1
2012-08-24|4360|36|1
2012-08-24|4362|60|1
2012-08-24|4365|72|1
2012-08-24|4367|132|1
2012-08-24|4368|84|1
2012-08-24|4369|144|1
2012-08-24|4374|84|1
2012-08-24|4375|84|1
2012-08-24|4376|72|1
2012-08-24|4385|72|1
2012-08-24|4389|72|1
2012-08-24|4391|108|1
2012-08-24|4393|60|1
2012-08-24|4400|60|1
2012-08-24|4404|96|1
2012-08-24|4409|84|1
2012-08-24|5260|60|1
2012-08-24|5263|84|1
2012-08-24|5270|72|1
2012-08-24|5281|60|1
2012-08-24|5309|72|1
2012-08-24|5330|72|1
2012-08-24|5339|96|1
2012-08-24|5346|72|1
2012-08-24|5401|84|1
2012-08-24|5413|84|1
2012-08-24|5425|72|1
2012-08-24|5479|84|1
2012-08-24|5482|48|1
2012-08-24|5485|72|1
2012-08-24|5487|120|1
2012-08-24|5586|120|1
2012-08-24|5603|60|1
2012-08-24|5610|84|1
2012-08-24|5656|48|1
2012-08-24|5659|96|1
2012-08-24|5662|48|1
2012-08-24|5686|72|1
2012-08-24|5693|36|1
2012-08-24|5726|72|1
2012-08-24|4225|84|1
2012-08-24|5853|60|1
2012-08-24|5872|36|1
2012-08-24|5892|96|1
2012-08-24|5898|72|1
2012-08-24|5900|84|1
2012-08-24|5923|120|1
2012-08-24|5932|60|1
2012-08-24|5957|96|1
2012-08-24|5987|48|1
2012-08-24|5989|60|1
2012-08-24|6024|84|1
2012-08-24|6030|72|1
2012-08-24|6082|48|1
2012-08-24|6105|144|1
2012-08-24|6106|132|1
2012-08-24|6107|108|1
2012-08-24|6110|48|1
2012-08-24|6126|144|1
2012-08-24|6155|120|1
2012-08-24|6199|84|1
2012-08-24|6213|84|1
2012-08-24|6217|72|1
2012-08-24|6278|120|1
2012-08-24|6319|96|1
2012-08-24|6326|120|1
2012-08-24|6335|108|1
2012-08-24|6344|108|1
2012-08-24|6348|60|1
2012-08-24|6364|96|1
2012-08-24|6377|48|1
2012-08-24|6385|48|1
2012-08-24|6399|60|1
2012-08-24|6416|96|1
2012-08-24|6581|156|1
2012-08-24|6635|84|1
2012-08-24|6707|84|1
2012-08-24|6739|72|1
2012-08-24|6762|60|1
2012-08-24|6817|60|1
2012-08-24|6842|48|1
2012-08-24|6866|96|1
2012-08-24|6875|60|1
2012-08-24|6898|72|1
2012-08-24|6912|96|1
